"pmid","auth_id","affiliation","source","identifier"
"20199141","(20199141,1)","Laboratory of Molecular Biology, Gifu Pharmaceutical University , Gifu, Japan .",NULL,NULL
"22734847","(22734847,1)","Institute of Urology, Lahey Clinic Medical Center , Burlington, Massachusetts.",NULL,NULL
"22798243","(22798243,1)","Bioengineering Department, Politecnico di Milano, Milano - Italy an IRCCS &quot;San Raffaele Pisana&quot; -Tosinvest Sanit&Atilde;&Acirc; SpA, Roma - Italy.",NULL,NULL
"22865575","(22865575,1)","Mechanics of Materials and Constructions (MeMC), Vrije Univeristeit Brussel, Brussels - Belgium and Electronics and Informatics (ETRO), Vrije Universiteit Brussel, Brussels - Belgium.",NULL,NULL
"23223012","(23223012,1)","1 Department of Child and Adolescent Psychiatry, Chang Gung Memorial Hospital - Kaohsiung Medical Center, Chang Gung University College of Medicine, Kaohsiung, Taiwan.",NULL,NULL
"23223012","(23223012,2)","2 Department of Child Psychiatry and Sleep center, Chang Gung Memorial Hospital at Linko, Taoyuan, Taiwan.",NULL,NULL
"23223012","(23223012,2)","3 Chang Gung University School of Medicine, Taoyuan, Taiwan.",NULL,NULL
"23223012","(23223012,3)","4 Department of Psychiatry, Chia-Yi Christian Hospital, Chiayi, Taiwan.",NULL,NULL
"23223012","(23223012,4)","3 Chang Gung University School of Medicine, Taoyuan, Taiwan.",NULL,NULL
"23223012","(23223012,4)","5 Department of Psychiatry, Chang Gung Memorial Hospital at Keelung, Taiwan.",NULL,NULL
"23404794","(23404794,1)","Instituto Modelo de Cardiolog&Atilde;&shy;a, Sagrada familia 359, C&Atilde;&sup3;rdoba, Argentina.",NULL,NULL
"23592528","(23592528,1)","Acute Coronary Care Division, Cardiovascular Disease Institute of S&Atilde;&pound;o Jos&Atilde;&copy; do Rio Preto.",NULL,NULL
"23592528","(23592528,10)","Acute Coronary Care Division Heart Institute (InCor), Medical School, University of S&Atilde;&pound;o Paulo.",NULL,NULL
"23592528","(23592528,2)","Acute Coronary Care Division Heart Institute (InCor), Medical School, University of S&Atilde;&pound;o Paulo.",NULL,NULL
"23592528","(23592528,3)","Laboratory Clinic Analysis Division Heart Institute (InCor), Medical School, University of S&Atilde;&pound;o Paulo.",NULL,NULL
"23592528","(23592528,4)","Acute Coronary Care Division Heart Institute (InCor), Medical School, University of S&Atilde;&pound;o Paulo.",NULL,NULL
"23592528","(23592528,5)","Laboratory of Hemodynamics Division of the Base Hospital Sao Jose of Preto, Medical School, University of Sao Jose do Rio Preto.",NULL,NULL
"23592528","(23592528,6)","Laboratory of Hemodynamics Division of the Base Hospital Sao Jose of Preto, Medical School, University of Sao Jose do Rio Preto.",NULL,NULL
"23592528","(23592528,7)","Laboratory of Hemodynamics Division, Cardiovascular Disease Institute of S&Atilde;&pound;o Jos&Atilde;&copy; do Rio Preto.",NULL,NULL
"23592528","(23592528,8)","Cardiology Department Division of Albert Einstein Hospital, Sao Paulo, Brazil.",NULL,NULL
"23592528","(23592528,9)","Acute Coronary Care Division Heart Institute (InCor), Medical School, University of S&Atilde;&pound;o Paulo.",NULL,NULL
"23613222","(23613222,1)","Institut Cardiovasculaire Paris Sud, 6 Avenue du Noyer Lambert, 91300, Massy, France.",NULL,NULL
"23625458","(23625458,1)","Cardiology Department, Soroka Medical Center and Ben-Gurion University of the Negev, Beer-Sheva, Israel.",NULL,NULL
"23640781","(23640781,1)","D&Atilde;&copy;partement d&apos;&apos;Imagerie P&Atilde;&copy;diatrique et Foetale, H&Atilde;&acute;pital Femme M&Atilde;&uml;re Enfant, Lyon Bron, France.",NULL,NULL
"23671019","(23671019,1)","Division of Prenatal Diagnosis, Department of Obstetrics and Gynecology, Wolfson Medical Center, Holon, Israel.",NULL,NULL
"23703939","(23703939,1)","Department of Obstetrics and Gynecology, VU Medical Center, Amsterdam, The Netherlands.",NULL,NULL
"23720060","(23720060,1)","Department of Radiation Oncology Kimmel Cancer Center, Thomas Jefferson University, Philadelphia, Pennsylvania.",NULL,NULL
"23725211","(23725211,1)","National Institute of Genetic Engineering and Biotechnology, Tehran, Iran.",NULL,NULL
"23733351","(23733351,1)","Division of Neurology, E-Da Hospital, I-Shou University, Kaohsiung, Taiwan; Department of Medical Nutrition, Institute of Biotechnology and Chemical Engineering and I-Shou University, Kaohsiung, Taiwan.",NULL,NULL
"23733531","(23733531,1)","Delta-Ultrasound Diagnostic Center in Obstetrics and Gynecology, Madrid, Spain.",NULL,NULL
"23733708","(23733708,1)","Department of Otorhinolaryngology - Head and Neck Surgery, Pusan National University School of Medicine and Medical Research Institute, Busan, Republic of Korea; Department of Otolaryngology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Republic of Korea.",NULL,NULL
"23737124","(23737124,1)","Department of Otolaryngology, Singapore General Hospital, Singapore.",NULL,NULL
"23737441","(23737441,1)","Division of Cardiology and Cardiovascular Surgery, Hospital das Cl&Atilde;&shy;nicas, School of Medicine, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Interventional Cardiology Department, Hospital das Cl&Atilde;&shy;nicas, Belo Horizonte, Brazil; Interventional Cardiology Department, Hospital Universit&Atilde;&iexcl;rio S&Atilde;&pound;o Jos&Atilde;&copy;, INCOR Minas, Belo Horizonte, Brazil.",NULL,NULL
"23765504","(23765504,1)","Cavanagh Heart Center at Banner Good Samaritan Regional Medical Center, Phoenix, Arizona.",NULL,NULL
"23765504","(23765504,2)","Cavanagh Heart Center at Banner Good Samaritan Regional Medical Center, Phoenix, Arizona.",NULL,NULL
"23765504","(23765504,3)","Cavanagh Heart Center at Banner Good Samaritan Regional Medical Center, Phoenix, Arizona.",NULL,NULL
"23784801","(23784801,1)","Division of Head and Neck Surgery, Department of Surgery, University of Hong Kong, Li Ka Shing Faculty of Medicine, Queen Mary Hospital, Pokfulam, Hong Kong, Special Administrative Regions of the, People&apos;&apos;s Republic of China.",NULL,NULL
"23787765","(23787765,1)","Institute of Liver Studies, King&apos;&apos;s College London School of Medicine at King&apos;&apos;s College Hospital, London, UK.",NULL,NULL
"23804575","(23804575,1)","Harvard Medical School, Boston, Massachusetts.",NULL,NULL
"23813603","(23813603,1)","Department of Medicine, Division of Cardiovascular Diseases, Stony Brook University Medical Center, Stony Brook, New York.",NULL,NULL
"23813842","(23813842,1)","Department of Pediatrics, University of California San Diego, La Jolla, CA; Department of Gastroenterology and Hepatology, University Hospital Essen, Essen, Germany.",NULL,NULL
"23828717","(23828717,1)","Department of Obstetrics, University of Groningen, University Medical Center Groningen, Groningen, The Netherlands.",NULL,NULL
"23828752","(23828752,1)","Department of Obstetrics and Gynecology, School of Medicine, University of S&Atilde;&pound;o Paulo, S&Atilde;&pound;o Paulo, Brazil.",NULL,NULL
"23829280","(23829280,1)","Department of Leukemia.",NULL,NULL
"23832757","(23832757,1)","Department of Otorhinolaryngology-Head and Neck Surgery, Ilsong Memorial Institute of Head and Neck Cancer, Hallym University, College of Medicine, Seoul, Korea.",NULL,NULL
"23835743","(23835743,1)","Department of Life Sciences, Milano-Bicocca University, Milano, Italy.",NULL,NULL
